"canonical_product_id","name","shop","date","original_price","promotion_price","match_status"
"prod_17100641c1eedf94","Чипсы Lays, в ассортименте, 225 г","magnit","2026-09-17 19:16:26.736",279.99,244.99,"provisional"
"prod_17100641c1eedf94","Чипсы Lays, в ассортименте, 225 г","magnit","2026-09-17 19:26:27.346",279.99,244.99,"provisional"
"prod_17100641c1eedf94","Чипсы Lays, в ассортименте, 225 г","magnit","2026-09-17 19:36:28.205",279.99,244.99,"provisional"
"prod_1a3ca9025ba79f64","Гель для душа SOKOLOV Black Pepper&Tonka , 400мл","lenta","2026-09-17 16:57:15.969",273.69,159.99,"provisional"
"prod_1a3ca9025ba79f64","Гель для душа SOKOLOV Black Pepper&Tonka , 400мл","lenta","2026-09-17 17:08:18.495",273.69,159.99,"provisional"
"prod_1a3ca9025ba79f64","Гель для душа SOKOLOV Black Pepper&Tonka , 400мл","lenta","2026-09-17 17:19:17.610",273.69,159.99,"provisional"
"prod_1a3ca9025ba79f64","Гель для душа SOKOLOV Black Pepper&Tonka , 400мл","lenta","2026-09-17 17:30:17.786",273.69,159.99,"provisional"
"prod_1a3ca9025ba79f64","Гель для душа SOKOLOV Black Pepper&Tonka , 400мл","lenta","2026-09-17 17:41:15.771",273.69,159.99,"provisional"
"prod_1a3ca9025ba79f64","Гель для душа SOKOLOV Black Pepper&Tonka , 400мл","lenta","2026-09-17 17:52:20.072",273.69,159.99,"provisional"
"prod_1a3ca9025ba79f64","Гель для душа SOKOLOV Black Pepper&Tonka , 400мл","lenta","2026-09-17 18:03:18.007",273.69,159.99,"provisional"
"prod_1a3ca9025ba79f64","Гель для душа SOKOLOV Black Pepper&Tonka , 400мл","lenta","2026-09-17 18:14:14.979",273.69,159.99,"provisional"
"prod_1a3ca9025ba79f64","Гель для душа SOKOLOV Black Pepper&Tonka , 400мл","lenta","2026-09-17 18:25:15.192",273.69,159.99,"provisional"
"prod_1a3ca9025ba79f64","Гель для душа SOKOLOV Black Pepper&Tonka , 400мл","lenta","2026-09-17 18:36:12.068",273.69,159.99,"provisional"
"prod_1a3ca9025ba79f64","Гель для душа SOKOLOV Black Pepper&Tonka , 400мл","lenta","2026-09-17 18:47:06.252",273.69,159.99,"provisional"
"prod_1a3ca9025ba79f64","Гель для душа SOKOLOV Black Pepper&Tonka , 400мл","lenta","2026-09-17 18:58:03.140",273.69,159.99,"provisional"
"prod_1a3ca9025ba79f64","Гель для душа SOKOLOV Black Pepper&Tonka , 400мл","lenta","2026-09-17 19:09:11.436",273.69,159.99,"provisional"
"prod_1a3ca9025ba79f64","Гель для душа SOKOLOV Black Pepper&Tonka , 400мл","lenta","2026-09-17 19:20:06.737",273.69,159.99,"provisional"
"prod_1a3ca9025ba79f64","Гель для душа SOKOLOV Black Pepper&Tonka , 400мл","lenta","2026-09-17 19:31:03.060",273.69,159.99,"provisional"
"prod_1ce85aaf7ae3a9d6","Обложка для автодокументов Staff полиуретан под кожу, Автодокументы, коричневая, 237598","mvideo","2026-09-17 16:56:15.980",580,277,"provisional"
"prod_1ce85aaf7ae3a9d6","Обложка для автодокументов Staff полиуретан под кожу, Автодокументы, коричневая, 237598","mvideo","2026-09-17 17:06:18.262",580,277,"provisional"
"prod_1ce85aaf7ae3a9d6","Обложка для автодокументов Staff полиуретан под кожу, Автодокументы, коричневая, 237598","mvideo","2026-09-17 17:16:19.893",580,277,"provisional"
"prod_1ce85aaf7ae3a9d6","Обложка для автодокументов Staff полиуретан под кожу, Автодокументы, коричневая, 237598","mvideo","2026-09-17 17:26:21.369",580,277,"provisional"
"prod_1ce85aaf7ae3a9d6","Обложка для автодокументов Staff полиуретан под кожу, Автодокументы, коричневая, 237598","mvideo","2026-09-17 17:36:22.877",580,277,"provisional"
"prod_1ce85aaf7ae3a9d6","Обложка для автодокументов Staff полиуретан под кожу, Автодокументы, коричневая, 237598","mvideo","2026-09-17 17:46:24.491",580,277,"provisional"
"prod_1ce85aaf7ae3a9d6","Обложка для автодокументов Staff полиуретан под кожу, Автодокументы, коричневая, 237598","mvideo","2026-09-17 17:56:26.061",580,277,"provisional"
"prod_1ce85aaf7ae3a9d6","Обложка для автодокументов Staff полиуретан под кожу, Автодокументы, коричневая, 237598","mvideo","2026-09-17 18:06:27.726",580,277,"provisional"
"prod_1ce85aaf7ae3a9d6","Обложка для автодокументов Staff полиуретан под кожу, Автодокументы, коричневая, 237598","mvideo","2026-09-17 18:16:29.190",580,277,"provisional"
"prod_1ce85aaf7ae3a9d6","Обложка для автодокументов Staff полиуретан под кожу, Автодокументы, коричневая, 237598","mvideo","2026-09-17 18:26:31.057",580,277,"provisional"
"prod_1ce85aaf7ae3a9d6","Обложка для автодокументов Staff полиуретан под кожу, Автодокументы, коричневая, 237598","mvideo","2026-09-17 18:36:32.726",580,277,"provisional"
"prod_1ce85aaf7ae3a9d6","Обложка для автодокументов Staff полиуретан под кожу, Автодокументы, коричневая, 237598","mvideo","2026-09-17 18:46:34.378",580,277,"provisional"
"prod_1ce85aaf7ae3a9d6","Обложка для автодокументов Staff полиуретан под кожу, Автодокументы, коричневая, 237598","mvideo","2026-09-17 18:56:36.055",580,277,"provisional"
"prod_1ce85aaf7ae3a9d6","Обложка для автодокументов Staff полиуретан под кожу, Автодокументы, коричневая, 237598","mvideo","2026-09-17 19:06:37.929",580,277,"provisional"
"prod_1ce85aaf7ae3a9d6","Обложка для автодокументов Staff полиуретан под кожу, Автодокументы, коричневая, 237598","mvideo","2026-09-17 19:16:39.805",580,277,"provisional"
"prod_1ce85aaf7ae3a9d6","Обложка для автодокументов Staff полиуретан под кожу, Автодокументы, коричневая, 237598","mvideo","2026-09-17 19:26:41.232",580,277,"provisional"
"prod_1ce85aaf7ae3a9d6","Обложка для автодокументов Staff полиуретан под кожу, Автодокументы, коричневая, 237598","mvideo","2026-09-17 19:36:42.975",580,277,"provisional"
"prod_1d885b0e2585992d","Карите Набор Маленькие радости","iledebeaute","2026-09-17 16:56:39.610",2844,1706,"provisional"
"prod_1d885b0e2585992d","Карите Набор Маленькие радости","iledebeaute","2026-09-17 17:07:29.762",2844,1706,"provisional"
"prod_1d885b0e2585992d","Карите Набор Маленькие радости","iledebeaute","2026-09-17 17:18:20.326",2844,1706,"provisional"
"prod_1d885b0e2585992d","Карите Набор Маленькие радости","iledebeaute","2026-09-17 17:29:08.595",2844,1706,"provisional"
"prod_1d885b0e2585992d","Карите Набор Маленькие радости","iledebeaute","2026-09-17 17:39:57.991",2844,1706,"provisional"
"prod_1d885b0e2585992d","Карите Набор Маленькие радости","iledebeaute","2026-09-17 17:50:47.025",2844,1706,"provisional"
"prod_1d885b0e2585992d","Карите Набор Маленькие радости","iledebeaute","2026-09-17 18:01:36.472",2844,1706,"provisional"
"prod_1d885b0e2585992d","Карите Набор Маленькие радости","iledebeaute","2026-09-17 18:12:24.708",2844,1706,"provisional"
"prod_1d885b0e2585992d","Карите Набор Маленькие радости","iledebeaute","2026-09-17 18:23:13.503",2844,1706,"provisional"
"prod_1d885b0e2585992d","Карите Набор Маленькие радости","iledebeaute","2026-09-17 18:34:02.753",2844,1706,"provisional"
"prod_1d885b0e2585992d","Карите Набор Маленькие радости","iledebeaute","2026-09-17 18:44:51.266",2844,1706,"provisional"
"prod_1d885b0e2585992d","Карите Набор Маленькие радости","iledebeaute","2026-09-17 18:55:40.171",2844,1706,"provisional"
"prod_1d885b0e2585992d","Карите Набор Маленькие радости","iledebeaute","2026-09-17 19:06:29.810",2844,1706,"provisional"
"prod_1d885b0e2585992d","Карите Набор Маленькие радости","iledebeaute","2026-09-17 19:17:17.897",2844,1706,"provisional"
"prod_1d885b0e2585992d","Карите Набор Маленькие радости","iledebeaute","2026-09-17 19:28:08.194",2844,1706,"provisional"
"prod_1d885b0e2585992d","Карите Набор Маленькие радости","iledebeaute","2026-09-17 19:38:57.378",2844,1706,"provisional"
"prod_203c8a6b8f2a2852","Килт банный для мужчин Everliness Килт махровый мужской с вышивкой","mvideo","2026-09-17 16:56:15.979",2500,1707,"provisional"
"prod_203c8a6b8f2a2852","Килт банный для мужчин Everliness Килт махровый мужской с вышивкой","mvideo","2026-09-17 17:06:18.260",2500,1707,"provisional"
"prod_203c8a6b8f2a2852","Килт банный для мужчин Everliness Килт махровый мужской с вышивкой","mvideo","2026-09-17 17:16:19.892",2500,1707,"provisional"
"prod_203c8a6b8f2a2852","Килт банный для мужчин Everliness Килт махровый мужской с вышивкой","mvideo","2026-09-17 17:26:21.368",2500,1707,"provisional"
"prod_203c8a6b8f2a2852","Килт банный для мужчин Everliness Килт махровый мужской с вышивкой","mvideo","2026-09-17 17:36:22.877",2500,1707,"provisional"
"prod_203c8a6b8f2a2852","Килт банный для мужчин Everliness Килт махровый мужской с вышивкой","mvideo","2026-09-17 17:46:24.490",2500,1707,"provisional"
