canonical_product_id,shop,name,category,group,n_episodes,n_price_states,first_seen,last_seen,promo_hours,median_discount,max_discount,min_price,max_price,observed_hours,promo_days,price_spread_pct
prod_350ba040c014fdf1,holodilnik,Стиральная машина Gressel UWC301 белый,электроника,бытовая техника,1,1,2026-09-17 15:05:38.992,2026-09-17 16:43:32.607,1.63,34.41,34.41,22299.0,22299.0,1.63,0.07,0.0
prod_37c024a322f359f8,podruzhka,Сыворотка для кожи вокруг глаз `AXIS-Y` с гиалуроновой кислотой и комплексом пептидов 10 мл,косметика,уход за лицом,1,1,2026-09-17 15:05:41.608,2026-09-17 16:33:44.878,1.47,57.12,57.12,1177.0,1177.0,1.47,0.06,0.0
prod_3957c8186b2f7154,lenta,"Зубная щетка JUICY LAB Magic Brush с ионами серебра, мягкая , 1 шт",косметика,гигиена,1,1,2026-09-17 14:43:36.381,2026-09-17 16:37:26.697,1.9,44.12,44.12,199.99,199.99,1.9,0.08,0.0
prod_3990e343bc29ca7a,mvideo,Аксессуар для дайвинга DJI Комплект для дайвинга Osmo Action Diving Accessory Kit,прочее,спорт и отдых,1,1,2026-09-17 14:43:17.161,2026-09-17 16:41:24.864,1.97,42.97,42.97,7025.0,7025.0,1.97,0.08,0.0
prod_3af860672ce20643,lenta,"Шампунь для волос SOKOLOV Dark Cherry&Almond, для восстановления , 750мл",косметика,уход за волосами,1,1,2026-09-17 14:43:42.820,2026-09-17 16:37:32.144,1.9,73.86,73.86,549.99,549.99,1.9,0.08,0.0
prod_3ba7a4f25eb86dba,holodilnik,Стиральная машина Haier HW70-BP12959AE,электроника,бытовая техника,1,1,2026-09-17 15:05:38.979,2026-09-17 16:43:32.596,1.63,16.67,16.67,42499.0,42499.0,1.63,0.07,0.0
prod_3c135266f5461fc2,podruzhka,Пенка для умывания `CELIMAX` слабокислотная 150 мл,косметика,уход за лицом,1,1,2026-09-17 15:05:45.834,2026-09-17 16:33:47.596,1.47,68.15,68.15,567.0,567.0,1.47,0.06,0.0
prod_3d7726d106d507bd,podruzhka,Крем для лица `NSC` ниацинамид глубокое восстановление и сияние кожи с витамином C 120 мл,косметика,уход за лицом,1,1,2026-09-17 15:05:45.838,2026-09-17 16:33:47.597,1.47,38.14,38.14,420.0,420.0,1.47,0.06,0.0
prod_41bfbe38feba5250,holodilnik,Стиральная машина Beko WRE6512ZAW,электроника,бытовая техника,1,1,2026-09-17 15:05:38.940,2026-09-17 16:43:32.584,1.63,1.0,1.0,28699.0,28699.0,1.63,0.07,0.0
prod_41f71a665d573856,mvideo,"Лодочный мотор MARLIN MP 9.9 (15) AMHS, двухтактный, бензиновый",прочее,авто и мото,1,1,2026-09-17 14:43:17.130,2026-09-17 16:41:24.852,1.97,6.63,6.63,122496.0,122496.0,1.97,0.08,0.0
prod_4332e8cee8b3ede7,podruzhka,Ампула для лица `COSNORI` PANTHE-SHOT 675 с пантенолом и микроиглами 50 мл,косметика,уход за лицом,1,1,2026-09-17 15:05:41.617,2026-09-17 16:33:44.881,1.47,40.0,40.0,1674.0,1674.0,1.47,0.06,0.0
prod_4481a3e65274398c,holodilnik,Стиральная машина Stinol WSTS 610 E,электроника,бытовая техника,1,1,2026-09-17 15:05:38.988,2026-09-17 16:43:32.605,1.63,16.44,16.44,21299.0,21299.0,1.63,0.07,0.0
prod_45b70ae1eeb2d76e,magnit,"Мармелад жевательный Juuums вкус клубника со сливками, 80 г",продукты,кондитерские изделия,1,1,2026-09-17 14:43:16.352,2026-09-17 16:41:13.532,1.97,16.67,16.67,99.99,99.99,1.97,0.08,0.0
prod_48985ffef0f3b816,lenta,"Горбуша натуральная , 240г",продукты,готовая кулинария и консервы,1,1,2026-09-17 14:43:23.670,2026-09-17 16:37:14.931,1.9,5.03,5.03,169.99,169.99,1.9,0.08,0.0
prod_4a0eda8918361861,iledebeaute,Monsieur Big Mascara Тушь для ресниц,косметика,декоративная косметика,1,1,2026-09-17 15:06:25.850,2026-09-17 16:37:23.910,1.52,25.01,25.01,4327.0,4327.0,1.52,0.06,0.0
prod_4e7873c5011b15dc,iledebeaute,DRAMA SIZED MASCARA Тушь с эффектом накладных ресниц,косметика,декоративная косметика,1,1,2026-09-17 15:06:30.797,2026-09-17 16:37:29.116,1.52,55.0,55.0,1260.0,1260.0,1.52,0.06,0.0
prod_4fe7d8e5bcf10870,mvideo,"Матрасик для пеленания на кроватку Mr Sandman, доска пеленальная на комод, 68х47 см, от 0 до 6 месяцев.",прочее,товары для детей,1,1,2026-09-17 14:43:17.143,2026-09-17 16:41:24.859,1.97,44.16,44.16,2792.0,2792.0,1.97,0.08,0.0
