canonical_product_id,shop,name,category,group,n_price_states,n_episodes,price_first,price_last,discount_now,discount_max,suspicion_score,level,flags,notes,evidence
prod_3c135266f5461fc2,podruzhka,Пенка для умывания `CELIMAX` слабокислотная 150 мл,косметика,уход за лицом,1,1,567.0,567.0,68.15,68.15,0.0,ok,,single_state,{}
prod_3d7726d106d507bd,podruzhka,Крем для лица `NSC` ниацинамид глубокое восстановление и сияние кожи с витамином C 120 мл,косметика,уход за лицом,1,1,420.0,420.0,38.14,38.14,0.0,ok,,single_state,{}
prod_41bfbe38feba5250,holodilnik,Стиральная машина Beko WRE6512ZAW,электроника,бытовая техника,1,1,28699.0,28699.0,1.0,1.0,0.0,ok,,psych_price|single_state,{}
prod_41f71a665d573856,mvideo,"Лодочный мотор MARLIN MP 9.9 (15) AMHS, двухтактный, бензиновый",прочее,авто и мото,1,1,122496.0,122496.0,6.63,6.63,0.0,ok,,single_state,{}
prod_4332e8cee8b3ede7,podruzhka,Ампула для лица `COSNORI` PANTHE-SHOT 675 с пантенолом и микроиглами 50 мл,косметика,уход за лицом,1,1,1674.0,1674.0,40.0,40.0,0.0,ok,,single_state,{}
prod_4481a3e65274398c,holodilnik,Стиральная машина Stinol WSTS 610 E,электроника,бытовая техника,1,1,21299.0,21299.0,16.44,16.44,0.0,ok,,psych_price|single_state,{}
prod_45b70ae1eeb2d76e,magnit,"Мармелад жевательный Juuums вкус клубника со сливками, 80 г",продукты,кондитерские изделия,1,1,99.99,99.99,16.67,16.67,0.0,ok,,psych_price|single_state,{}
prod_48985ffef0f3b816,lenta,"Горбуша натуральная , 240г",продукты,готовая кулинария и консервы,1,1,169.99,169.99,5.03,5.03,0.0,ok,,psych_price|single_state,{}
prod_4a0eda8918361861,iledebeaute,Monsieur Big Mascara Тушь для ресниц,косметика,декоративная косметика,1,1,4327.0,4327.0,25.01,25.01,0.0,ok,,single_state,{}
prod_4e7873c5011b15dc,iledebeaute,DRAMA SIZED MASCARA Тушь с эффектом накладных ресниц,косметика,декоративная косметика,1,1,1260.0,1260.0,55.0,55.0,0.0,ok,,single_state,{}
prod_4fe7d8e5bcf10870,mvideo,"Матрасик для пеленания на кроватку Mr Sandman, доска пеленальная на комод, 68х47 см, от 0 до 6 месяцев.",прочее,товары для детей,1,1,2792.0,2792.0,44.16,44.16,0.0,ok,,deep_discount_for_group|single_state,{}
prod_50cc7f7a7b86f7ab,magnit,"Стакан для ванной Wellfort, стекло Bohemian",прочее,хозтовары,1,1,129.99,129.99,27.78,27.78,0.0,ok,,psych_price|single_state,{}
prod_5406ca549009b3b9,lenta,"Шампунь для волос SOKOLOV Basil&Mandarin, для объема волос , 750 мл",косметика,уход за волосами,1,1,549.99,549.99,73.86,73.86,0.0,ok,,deep_discount_for_group|psych_price|single_state,{}
prod_5730126abeae7fd8,lenta,"Гель для душа SOKOLOV Basil&Mandarin , 400мл",косметика,уход за телом,1,1,159.99,159.99,41.54,41.54,0.0,ok,,deep_discount_for_group|psych_price|single_state,{}
prod_5905c453c9877f8d,magnit,"Мороженое Свитлогорье эскимо с драже «Неон» и взрывной карамелью 12%, 80 г",продукты,мороженое,1,1,119.99,119.99,35.14,35.14,0.0,ok,,deep_discount_for_group|psych_price|single_state,{}
prod_598e9167c0fb37ad,iledebeaute,Defy Дезодорант,косметика,парфюмерия,1,1,2385.0,2385.0,35.01,35.01,0.0,ok,,deep_discount_for_group|single_state,{}
prod_5a544d6968ced320,magnit,"Мыльница Wellfort, стекло Bohemian",прочее,хозтовары,1,1,99.99,99.99,33.34,33.34,0.0,ok,,psych_price|single_state,{}
prod_5be826adba03ccc0,magnit,"Мороженое Bahroma пломбир шоколадный чизкейк, черное печенье 12%, 320 г",продукты,мороженое,1,1,499.99,499.99,35.07,35.07,0.0,ok,,psych_price|single_state,{}
prod_5c6a64bbe3f7cd80,magnit,"Скраб для тела Synergetic антицеллюлитный Пачули и ароматный бергамот, 300 мл",косметика,уход за телом,1,1,369.99,369.99,26.0,26.0,0.0,ok,,psych_price|single_state,{}
prod_5ce5cda4f9a38006,lenta,"Филе куриное в хрустящей корочке с кисло‑сладким соусом РЕСТО ШИК , 200г",продукты,готовая кулинария и консервы,1,1,189.99,189.99,5.0,5.0,0.0,ok,,psych_price|single_state,{}
prod_602bc172f7aca7a4,mvideo,Мяч гимнастический фитбол 75 см,прочее,спорт и отдых,1,1,2016.0,2016.0,39.11,39.11,0.0,ok,,single_state,{}
prod_607ae73404b90a7f,holodilnik,Стиральная машина Stinol WSTU 410 B,электроника,бытовая техника,1,1,20499.0,20499.0,8.85,8.85,0.0,ok,,psych_price|single_state,{}
prod_61c4d629aa2094af,magnit,"Скраб для тела Рецепты бабушки Агафьи морошка на сахаре, 300 мл",косметика,уход за телом,1,1,199.99,199.99,13.04,13.04,0.0,ok,,psych_price|single_state,{}
prod_63824390026c58c5,magnit,"Скраб для тела Synergetic Цветущий инжир и лотос, 300 мл",косметика,уход за телом,1,1,387.99,387.99,22.4,22.4,0.0,ok,,psych_price|single_state,{}
prod_648d04b3570c1067,podruzhka,Крем-спрей для волос `MIXIT` RE:START многофункциональный 15в1 250 мл,косметика,уход за волосами,1,1,271.0,271.0,48.67,48.67,0.0,ok,,single_state,{}
prod_65050a5317e73975,mvideo,Фартук рабочий ProfiCool Непромокаемый фартук профессиональный для работы,прочее,хозтовары,1,1,1103.0,1103.0,58.87,58.87,0.0,ok,,deep_discount_for_group|single_state,{}
prod_693e94418bf94ca0,lenta,"Мармелад жевательный ORION Tinglezz со вкусом колы и лайма , 75г",продукты,кондитерские изделия,1,1,254.99,254.99,19.25,19.25,0.0,ok,,deep_discount_for_group|psych_price|single_state,{}
prod_6d4ca4b35f51aeed,lenta,"Яйцо шоколадное MEGA SECRET Пираты-прилипалы , 20г",продукты,кондитерские изделия,1,1,49.99,49.99,18.17,18.17,0.0,ok,,psych_price|single_state,{}
prod_6e4f288a9869d9a2,podruzhka,Сыворотка для лица `DR. ALTHEA` SKIN RELIEF ESSENCE успокаивающая против несовершенств 30 мл,косметика,уход за лицом,1,1,1320.0,1320.0,26.05,26.05,0.0,ok,,single_state,{}
prod_6e5d8b4717e75beb,holodilnik,Стиральная машина Samsung WW60AG4S00CELD,электроника,бытовая техника,1,1,34399.0,34399.0,7.0,7.0,0.0,ok,,psych_price|single_state,{}
prod_6f685630f66e9218,mvideo,Погремушка ND Play Веселый кролик NDT-004,прочее,товары для детей,1,1,824.0,824.0,4.19,4.19,0.0,ok,,single_state,{}
prod_6fae1d12871bd861,iledebeaute,Lotion Tonique Hydratante Увлажняющий тоник для нормальной и сухой кожи,косметика,не распознано,1,1,2240.0,2240.0,30.0,30.0,0.0,ok,,deep_discount_for_group|single_state,{}
prod_6fe50946c0cfb29b,podruzhka,Гель-ламинатор для бровей `LUXVISAGE` BROW LAMINATOR суперсильной фиксации тон Бесцветный,косметика,декоративная косметика,1,1,226.0,226.0,45.01,45.01,0.0,ok,,single_state,{}
prod_74b2d50e138d2d0a,mvideo,Шина для мотоциклов Anlas Capra-R 100/90-19 57H,прочее,авто и мото,1,1,14784.0,14784.0,20.09,20.09,0.0,ok,,single_state,{}
prod_754459bb5e9acffc,magnit,"Мороженое Коровка из Кореновки Фисташковое пралине с макаронс и миндалем 15%, 300 г",продукты,мороженое,1,1,449.99,449.99,25.0,25.0,0.0,ok,,psych_price|single_state,{}
prod_7b32c23583c4f079,mvideo,Фетальный допплер для беременных домашний,электроника,электроника,1,1,1381.0,1381.0,60.54,60.54,0.0,ok,,deep_discount_for_group|single_state,{}
prod_7d11e51f7aad2c8f,iledebeaute,FLAMINGO BLUSH Набор для макияжа,косметика,декоративная косметика,1,1,499.0,499.0,90.0,90.0,0.0,ok,,deep_discount_for_group|psych_price|single_state,{}
prod_806189b4ec6b9264,holodilnik,Стиральная машина Candy Aquamatic Evo AQUE 1043D-07,электроника,бытовая техника,1,1,29699.0,29699.0,21.84,21.84,0.0,ok,,psych_price|single_state,{}
prod_82bc7653e01f6c78,holodilnik,Стиральная машина Haier HW60-BP12919A,электроника,бытовая техника,1,1,29199.0,29199.0,33.64,33.64,0.0,ok,,psych_price|single_state,{}
prod_837c5d0c20295595,iledebeaute,Irresistible Nude Velvet Парфюмерная вода,косметика,парфюмерия,1,1,9579.0,9579.0,29.98,29.98,0.0,ok,,psych_price|single_state,{}
prod_8a96220ea04780da,iledebeaute,Lash Power Mascara Тушь для ресниц,косметика,декоративная косметика,1,1,2490.0,2490.0,40.0,40.0,0.0,ok,,single_state,{}
prod_8bf6bbd403655071,mvideo,Машина отрезная прямая пневматическая Concorde композитная CD-SG20000C,прочее,авто и мото,1,1,2169.0,2169.0,75.13,75.13,0.0,ok,,deep_discount_for_group|psych_price|single_state,{}
prod_90aa2d1be4893a8f,mvideo,"Противень для духовки MEFERI BT01 65 л 478 x 365 x 31 , глубокий",электроника,бытовая техника,1,1,2399.0,2399.0,25.15,25.15,0.0,ok,,psych_price|single_state,{}
prod_9265205e23e5e3e9,iledebeaute,HD SKIN ALL IN ONE Многофункциональная палетка для лица,косметика,декоративная косметика,1,1,7607.0,7607.0,15.01,15.01,0.0,ok,,single_state,{}
prod_937bca8189695718,lenta,"Гель для душа SOKOLOV Dark Cherry&Almond , 400мл",косметика,уход за телом,1,1,159.99,159.99,41.54,41.54,0.0,ok,,deep_discount_for_group|psych_price|single_state,{}
prod_948ca9a1e2f772d6,iledebeaute,Вербена Новогодний набор,косметика,подарочные наборы,1,1,1018.0,1018.0,40.05,40.05,0.0,ok,,deep_discount_for_group|single_state,{}
prod_9540ca69ed79ba3c,mvideo,Ходунки для малыша Solmax SM99817,прочее,товары для детей,1,1,4635.0,4635.0,35.06,35.06,0.0,ok,,single_state,{}
prod_9556119bda12f6fb,holodilnik,Стиральная машина Indesit IWSB 5105,электроника,бытовая техника,1,1,24999.0,24999.0,5.63,5.63,0.0,ok,,psych_price|single_state,{}
prod_957e3455206ef383,mvideo,Преобразователь сигнала с высокого уровня на RCA DL Audio Phoenix Sport High Level to RCA Converter 6ch,электроника,электроника,1,1,4076.0,4076.0,8.81,8.81,0.0,ok,,single_state,{}
prod_9affb241853e49ab,podruzhka,Сыворотка для лица `CELIMAX` с экстрактом нони (питательная) 30 мл,косметика,уход за лицом,1,1,642.0,642.0,82.95,82.95,0.0,ok,,deep_discount_for_group|single_state,{}
prod_9ba3127f17ea5273,holodilnik,Стиральная машина Candy Smart Pro CSO34 106T1/2-07,электроника,бытовая техника,1,1,23099.0,23099.0,25.48,25.48,0.0,ok,,psych_price|single_state,{}
prod_9cc6e469f8f36c55,holodilnik,Стиральная машина LG F2V3GS3W,электроника,бытовая техника,1,1,53783.0,53783.0,17.12,17.12,0.0,ok,,single_state,{}
prod_9f8be59d8f551795,podruzhka,Крем для лица `DR. ALTHEA` 345 RELIEF успокаивающий с ресвератролом 50 мл,косметика,уход за лицом,1,1,2829.0,2829.0,18.19,18.19,0.0,ok,,psych_price|single_state,{}
prod_a136c0a7fa50949c,holodilnik,Стиральная машина Indesit BWSA 6109 WWV,электроника,бытовая техника,1,1,30499.0,30499.0,1.58,1.58,0.0,ok,,psych_price|single_state,{}
prod_a573c16f414bb51e,holodilnik,Стиральная машина Candy Smart Pro CSO4 107TB1/2-07,электроника,бытовая техника,1,1,28799.0,28799.0,12.73,12.73,0.0,ok,,psych_price|single_state,{}
prod_a68ca3d4b6d009a6,magnit,"Фитобальзам Чистая линия повышающий упругость тела, 200 мл",косметика,уход за телом,1,1,264.99,264.99,14.52,14.52,0.0,ok,,psych_price|single_state,{}
prod_a718280b1b4d1084,mvideo,MK3106 Переходник 1/4 DR (квадрат) — 1/4 HEX (шестигранник) (10шт) MKSS,прочее,инструменты,1,1,901.0,901.0,9.81,9.81,0.0,ok,,deep_discount_for_group|single_state,{}
prod_ab32afea7ec88242,iledebeaute,VELVET DANCE Туалетная вода,косметика,парфюмерия,1,1,760.0,760.0,20.0,20.0,0.0,ok,,single_state,{}
prod_ab4d5c21c5a5bedc,podruzhka,Крем для лица `DR. ALTHEA` 147 BARRIER успокаивающий 50 мл,косметика,уход за лицом,1,1,2218.0,2218.0,35.86,35.86,0.0,ok,,single_state,{}
prod_aba138b9ffa26ebf,mvideo,"Amarancho Гранола без сахара шоколадная с амарантом, 270 гр",продукты,снеки и сухие завтраки,1,1,469.0,469.0,4.29,4.29,0.0,ok,,psych_price|single_state,{}
prod_ad82533ff733df92,iledebeaute,Vita C Plus Маска для лица тканевая с липосомальным витамином С для сияния кожи и борьбы с пигментацией,косметика,уход за лицом,1,1,441.0,441.0,36.09,36.09,0.0,ok,,single_state,{}
prod_af7525fc331e0488,holodilnik,Стиральная машина Gressel UBC301 серый,электроника,бытовая техника,1,1,23299.0,23299.0,39.06,39.06,0.0,ok,,deep_discount_for_group|psych_price|single_state,{}
prod_b12b5621b7e3f2e3,mvideo,Шина для мотоциклов CST CM742 140/80 R18 70M (Задняя),прочее,авто и мото,1,1,3936.0,3936.0,21.28,21.28,0.0,ok,,single_state,{}
prod_b24e820895125a81,mvideo,"Amarancho Амарантовая мука без глютена для выпечки, 400 гр",продукты,снеки и сухие завтраки,1,1,335.0,335.0,4.29,4.29,0.0,ok,,single_state,{}
prod_b3d62f832d62098d,magnit,"Скраб для тела Черный жемчуг Идеальная кожа, 200 мл",косметика,уход за телом,1,1,389.99,389.99,26.42,26.42,0.0,ok,,psych_price|single_state,{}
