canonical_product_id,shop,episode_id,name,category,group,n_price_states,started_at,ended_at,median_discount,max_discount,min_price,max_price,duration_hours,duration_days,price_changed
prod_ad82533ff733df92,iledebeaute,90,Vita C Plus Маска для лица тканевая с липосомальным витамином С для сияния кожи и борьбы с пигментацией,косметика,уход за лицом,1,2026-09-17 15:06:16.207,2026-09-17 16:37:16.636,36.08695652173913,36.08695652173913,441.0,441.0,1.52,0.06,False
prod_8a96220ea04780da,iledebeaute,70,Lash Power Mascara Тушь для ресниц,косметика,декоративная косметика,1,2026-09-17 15:06:23.298,2026-09-17 16:37:21.478,40.0,40.0,2490.0,2490.0,1.52,0.06,False
prod_4a0eda8918361861,iledebeaute,38,Monsieur Big Mascara Тушь для ресниц,косметика,декоративная косметика,1,2026-09-17 15:06:25.850,2026-09-17 16:37:23.910,25.00866551126516,25.00866551126516,4327.0,4327.0,1.52,0.06,False
prod_4e7873c5011b15dc,iledebeaute,39,DRAMA SIZED MASCARA Тушь с эффектом накладных ресниц,косметика,декоративная косметика,1,2026-09-17 15:06:30.797,2026-09-17 16:37:29.116,55.00000000000001,55.00000000000001,1260.0,1260.0,1.52,0.06,False
prod_598e9167c0fb37ad,iledebeaute,45,Defy Дезодорант,косметика,парфюмерия,1,2026-09-17 15:06:33.352,2026-09-17 16:37:31.863,35.013623978201636,35.013623978201636,2385.0,2385.0,1.52,0.06,False
prod_948ca9a1e2f772d6,iledebeaute,75,Вербена Новогодний набор,косметика,подарочные наборы,1,2026-09-17 15:06:35.877,2026-09-17 16:37:34.289,40.04711425206124,40.04711425206124,1018.0,1018.0,1.52,0.06,False
prod_48985ffef0f3b816,lenta,37,"Горбуша натуральная , 240г",продукты,готовая кулинария и консервы,1,2026-09-17 14:43:23.670,2026-09-17 16:37:14.931,5.028213866696463,5.028213866696463,169.99,169.99,1.9,0.08,False
prod_27ddb5693e7ad6b5,lenta,17,"Паштет шпротный , 160г",продукты,готовая кулинария и консервы,1,2026-09-17 14:43:26.704,2026-09-17 16:37:17.955,5.078383749172,5.078383749172,42.99,42.99,1.9,0.08,False
prod_03ac60309d251b00,lenta,1,"Набор подарочный M&M'S & FRIENDS Снова в школу, карандаш , 116г",косметика,подарочные наборы,1,2026-09-17 14:43:29.554,2026-09-17 16:37:21.128,32.727848351735325,32.727848351735325,169.99,169.99,1.9,0.08,False
prod_3957c8186b2f7154,lenta,26,"Зубная щетка JUICY LAB Magic Brush с ионами серебра, мягкая , 1 шт",косметика,гигиена,1,2026-09-17 14:43:36.381,2026-09-17 16:37:26.697,44.119701584285664,44.119701584285664,199.99,199.99,1.9,0.08,False
prod_5406ca549009b3b9,lenta,42,"Шампунь для волос SOKOLOV Basil&Mandarin, для объема волос , 750 мл",косметика,уход за волосами,1,2026-09-17 14:43:39.605,2026-09-17 16:37:29.391,73.86252388058283,73.86252388058283,549.99,549.99,1.9,0.08,False
prod_3af860672ce20643,lenta,28,"Шампунь для волос SOKOLOV Dark Cherry&Almond, для восстановления , 750мл",косметика,уход за волосами,1,2026-09-17 14:43:42.820,2026-09-17 16:37:32.144,73.86252388058283,73.86252388058283,549.99,549.99,1.9,0.08,False
prod_693e94418bf94ca0,lenta,56,"Мармелад жевательный ORION Tinglezz со вкусом колы и лайма , 75г",продукты,кондитерские изделия,1,2026-09-17 14:43:50.651,2026-09-17 16:37:37.960,19.253301244497933,19.253301244497933,254.99,254.99,1.9,0.08,False
prod_6d4ca4b35f51aeed,lenta,57,"Яйцо шоколадное MEGA SECRET Пираты-прилипалы , 20г",продукты,кондитерские изделия,1,2026-09-17 14:44:00.680,2026-09-17 16:37:46.862,18.169913242756586,18.169913242756586,49.99,49.99,1.9,0.08,False
prod_2fc96355426d7093,lenta,22,"Салат Филадельфия с филе‑кусочками форели радужной слабосоленой РЕСТО ШИК , 180г",продукты,готовая кулинария и консервы,1,2026-09-17 14:44:03.914,2026-09-17 16:37:49.937,5.040543502081951,5.040543502081951,129.99,129.99,1.9,0.08,False
prod_5ce5cda4f9a38006,lenta,49,"Филе куриное в хрустящей корочке с кисло‑сладким соусом РЕСТО ШИК , 200г",продукты,готовая кулинария и консервы,1,2026-09-17 14:44:12.827,2026-09-17 16:37:58.834,5.000250012500629,5.000250012500629,189.99,189.99,1.9,0.08,False
prod_937bca8189695718,lenta,74,"Гель для душа SOKOLOV Dark Cherry&Almond , 400мл",косметика,уход за телом,1,2026-09-17 14:44:19.939,2026-09-17 16:38:05.225,41.54335196755453,41.54335196755453,159.99,159.99,1.9,0.08,False
prod_5730126abeae7fd8,lenta,43,"Гель для душа SOKOLOV Basil&Mandarin , 400мл",косметика,уход за телом,1,2026-09-17 14:44:22.977,2026-09-17 16:38:08.085,41.54335196755453,41.54335196755453,159.99,159.99,1.9,0.08,False
prod_1a3ca9025ba79f64,lenta,12,"Гель для душа SOKOLOV Black Pepper&Tonka , 400мл",косметика,уход за телом,1,2026-09-17 14:44:29.635,2026-09-17 16:38:11.063,41.54335196755453,41.54335196755453,159.99,159.99,1.89,0.08,False
prod_754459bb5e9acffc,magnit,64,"Мороженое Коровка из Кореновки Фисташковое пралине с макаронс и миндалем 15%, 300 г",продукты,мороженое,1,2026-09-17 14:43:16.337,2026-09-17 16:41:13.527,25.000416673611227,25.000416673611227,449.99,449.99,1.97,0.08,False
prod_5be826adba03ccc0,magnit,47,"Мороженое Bahroma пломбир шоколадный чизкейк, черное печенье 12%, 320 г",продукты,мороженое,1,2026-09-17 14:43:16.339,2026-09-17 16:41:13.527,35.06539045961637,35.06539045961637,499.99,499.99,1.97,0.08,False
prod_5905c453c9877f8d,magnit,44,"Мороженое Свитлогорье эскимо с драже «Неон» и взрывной карамелью 12%, 80 г",продукты,мороженое,1,2026-09-17 14:43:16.349,2026-09-17 16:41:13.531,35.13703443429376,35.13703443429376,119.99,119.99,1.97,0.08,False
prod_45b70ae1eeb2d76e,magnit,36,"Мармелад жевательный Juuums вкус клубника со сливками, 80 г",продукты,кондитерские изделия,1,2026-09-17 14:43:16.352,2026-09-17 16:41:13.532,16.668055671305947,16.668055671305947,99.99,99.99,1.97,0.08,False
prod_5a544d6968ced320,magnit,46,"Мыльница Wellfort, стекло Bohemian",прочее,хозтовары,1,2026-09-17 14:43:16.354,2026-09-17 16:41:13.533,33.335555703713595,33.335555703713595,99.99,99.99,1.97,0.08,False
prod_50cc7f7a7b86f7ab,magnit,41,"Стакан для ванной Wellfort, стекло Bohemian",прочее,хозтовары,1,2026-09-17 14:43:16.355,2026-09-17 16:41:13.534,27.77932107339296,27.77932107339296,129.99,129.99,1.97,0.08,False
prod_17100641c1eedf94,magnit,11,"Чипсы Lays, в ассортименте, 225 г",продукты,снеки и сухие завтраки,1,2026-09-17 14:43:16.359,2026-09-17 16:41:13.536,12.500446444515878,12.500446444515878,244.99,244.99,1.97,0.08,False
prod_a68ca3d4b6d009a6,magnit,85,"Фитобальзам Чистая линия повышающий упругость тела, 200 мл",косметика,уход за телом,1,2026-09-17 14:43:16.360,2026-09-17 16:41:13.536,14.51659730959063,14.51659730959063,264.99,264.99,1.97,0.08,False
prod_b3d62f832d62098d,magnit,94,"Скраб для тела Черный жемчуг Идеальная кожа, 200 мл",косметика,уход за телом,1,2026-09-17 14:43:16.363,2026-09-17 15:03:19.686,26.415592747032967,26.415592747032967,389.99,389.99,0.33,0.01,False
prod_61c4d629aa2094af,magnit,52,"Скраб для тела Рецепты бабушки Агафьи морошка на сахаре, 300 мл",косметика,уход за телом,1,2026-09-17 14:43:16.365,2026-09-17 16:41:13.538,13.044045393277969,13.044045393277969,199.99,199.99,1.97,0.08,False
