canonical_product_id,name,shop,category,group,episode_id,first_seen,last_seen,duration_hours,n_obs,original_price,promotion_price,discount_pct,saving
prod_948ca9a1e2f772d6,Вербена Новогодний набор,iledebeaute,косметика,подарочные наборы,75,2026-09-17 15:06:35.877,2026-09-17 16:37:34.289,1.52,4,1698.0,1018.0,40.05,680.0
prod_ab32afea7ec88242,VELVET DANCE Туалетная вода,iledebeaute,косметика,парфюмерия,87,2026-09-17 15:05:56.631,2026-09-17 16:36:59.354,1.52,4,950.0,760.0,20.0,190.0
prod_ad82533ff733df92,Vita C Plus Маска для лица тканевая с липосомальным витамином С для сияния кожи и борьбы с пигментацией,iledebeaute,косметика,уход за лицом,90,2026-09-17 15:06:16.207,2026-09-17 16:37:16.636,1.52,4,690.0,441.0,36.09,249.0
prod_03ac60309d251b00,"Набор подарочный M&M'S & FRIENDS Снова в школу, карандаш , 116г",lenta,косметика,подарочные наборы,1,2026-09-17 14:43:29.554,2026-09-17 16:37:21.128,1.9,6,252.69,169.99,32.73,82.7
prod_1a3ca9025ba79f64,"Гель для душа SOKOLOV Black Pepper&Tonka , 400мл",lenta,косметика,уход за телом,12,2026-09-17 14:44:29.635,2026-09-17 16:38:11.063,1.89,6,273.69,159.99,41.54,113.7
prod_27ddb5693e7ad6b5,"Паштет шпротный , 160г",lenta,продукты,готовая кулинария и консервы,17,2026-09-17 14:43:26.704,2026-09-17 16:37:17.955,1.9,6,45.29,42.99,5.08,2.3
prod_2fc96355426d7093,"Салат Филадельфия с филе‑кусочками форели радужной слабосоленой РЕСТО ШИК , 180г",lenta,продукты,готовая кулинария и консервы,22,2026-09-17 14:44:03.914,2026-09-17 16:37:49.937,1.9,5,136.89,129.99,5.04,6.9
prod_3957c8186b2f7154,"Зубная щетка JUICY LAB Magic Brush с ионами серебра, мягкая , 1 шт",lenta,косметика,гигиена,26,2026-09-17 14:43:36.381,2026-09-17 16:37:26.697,1.9,6,357.89,199.99,44.12,157.9
prod_3af860672ce20643,"Шампунь для волос SOKOLOV Dark Cherry&Almond, для восстановления , 750мл",lenta,косметика,уход за волосами,28,2026-09-17 14:43:42.820,2026-09-17 16:37:32.144,1.9,6,2104.22,549.99,73.86,1554.23
prod_48985ffef0f3b816,"Горбуша натуральная , 240г",lenta,продукты,готовая кулинария и консервы,37,2026-09-17 14:43:23.670,2026-09-17 16:37:14.931,1.9,6,178.99,169.99,5.03,9.0
