"canonical_product_id","name","shop","date","original_price","promotion_price","match_status"
"prod_15734fa5f632edae","Шнек (300х800 мм) для бензобура Gigant 12-010","mvideo","2026-09-17 14:53:23.810",12431,9547,"provisional"
"prod_15734fa5f632edae","Шнек (300х800 мм) для бензобура Gigant 12-010","mvideo","2026-09-17 15:03:26.697",12431,9547,"provisional"
"prod_15734fa5f632edae","Шнек (300х800 мм) для бензобура Gigant 12-010","mvideo","2026-09-17 15:13:29.250",12431,9547,"provisional"
"prod_15734fa5f632edae","Шнек (300х800 мм) для бензобура Gigant 12-010","mvideo","2026-09-17 15:23:32.197",12431,9547,"provisional"
"prod_15734fa5f632edae","Шнек (300х800 мм) для бензобура Gigant 12-010","mvideo","2026-09-17 16:31:23.286",12431,9547,"provisional"
"prod_15734fa5f632edae","Шнек (300х800 мм) для бензобура Gigant 12-010","mvideo","2026-09-17 16:41:24.868",12431,9547,"provisional"
"prod_15d9f45dda95469f","Пенка для умывания `MIXIT` `LAB` WOW MOISTURE с мочевиной и гиалуроновой кислотой (экстраувляжняющая) 200 мл","podruzhka","2026-09-17 15:05:45.835",538,287,"provisional"
"prod_15d9f45dda95469f","Пенка для умывания `MIXIT` `LAB` WOW MOISTURE с мочевиной и гиалуроновой кислотой (экстраувляжняющая) 200 мл","podruzhka","2026-09-17 15:15:50.159",538,287,"provisional"
"prod_15d9f45dda95469f","Пенка для умывания `MIXIT` `LAB` WOW MOISTURE с мочевиной и гиалуроновой кислотой (экстраувляжняющая) 200 мл","podruzhka","2026-09-17 15:25:54.198",538,287,"provisional"
"prod_15d9f45dda95469f","Пенка для умывания `MIXIT` `LAB` WOW MOISTURE с мочевиной и гиалуроновой кислотой (экстраувляжняющая) 200 мл","podruzhka","2026-09-17 16:33:47.596",538,287,"provisional"
"prod_17100641c1eedf94","Чипсы Lays, в ассортименте, 225 г","magnit","2026-09-17 14:43:16.359",279.99,244.99,"provisional"
"prod_17100641c1eedf94","Чипсы Lays, в ассортименте, 225 г","magnit","2026-09-17 14:53:18.568",279.99,244.99,"provisional"
"prod_17100641c1eedf94","Чипсы Lays, в ассортименте, 225 г","magnit","2026-09-17 15:03:19.682",279.99,244.99,"provisional"
"prod_17100641c1eedf94","Чипсы Lays, в ассортименте, 225 г","magnit","2026-09-17 15:13:20.514",279.99,244.99,"provisional"
"prod_17100641c1eedf94","Чипсы Lays, в ассортименте, 225 г","magnit","2026-09-17 15:23:21.441",279.99,244.99,"provisional"
"prod_17100641c1eedf94","Чипсы Lays, в ассортименте, 225 г","magnit","2026-09-17 16:31:12.504",279.99,244.99,"provisional"
"prod_17100641c1eedf94","Чипсы Lays, в ассортименте, 225 г","magnit","2026-09-17 16:41:13.536",279.99,244.99,"provisional"
"prod_1a3ca9025ba79f64","Гель для душа SOKOLOV Black Pepper&Tonka , 400мл","lenta","2026-09-17 14:44:29.635",273.69,159.99,"provisional"
"prod_1a3ca9025ba79f64","Гель для душа SOKOLOV Black Pepper&Tonka , 400мл","lenta","2026-09-17 14:55:49.599",273.69,159.99,"provisional"
"prod_1a3ca9025ba79f64","Гель для душа SOKOLOV Black Pepper&Tonka , 400мл","lenta","2026-09-17 15:07:02.531",273.69,159.99,"provisional"
"prod_1a3ca9025ba79f64","Гель для душа SOKOLOV Black Pepper&Tonka , 400мл","lenta","2026-09-17 15:18:19.080",273.69,159.99,"provisional"
"prod_1a3ca9025ba79f64","Гель для душа SOKOLOV Black Pepper&Tonka , 400мл","lenta","2026-09-17 15:49:29.411",273.69,159.99,"provisional"
"prod_1a3ca9025ba79f64","Гель для душа SOKOLOV Black Pepper&Tonka , 400мл","lenta","2026-09-17 16:38:11.063",273.69,159.99,"provisional"
"prod_1ce85aaf7ae3a9d6","Обложка для автодокументов Staff полиуретан под кожу, Автодокументы, коричневая, 237598","mvideo","2026-09-17 14:43:17.140",580,277,"provisional"
"prod_1ce85aaf7ae3a9d6","Обложка для автодокументов Staff полиуретан под кожу, Автодокументы, коричневая, 237598","mvideo","2026-09-17 14:53:23.784",580,277,"provisional"
"prod_1ce85aaf7ae3a9d6","Обложка для автодокументов Staff полиуретан под кожу, Автодокументы, коричневая, 237598","mvideo","2026-09-17 15:03:26.679",580,277,"provisional"
"prod_1ce85aaf7ae3a9d6","Обложка для автодокументов Staff полиуретан под кожу, Автодокументы, коричневая, 237598","mvideo","2026-09-17 15:13:29.223",580,277,"provisional"
"prod_1ce85aaf7ae3a9d6","Обложка для автодокументов Staff полиуретан под кожу, Автодокументы, коричневая, 237598","mvideo","2026-09-17 15:23:32.178",580,277,"provisional"
"prod_1ce85aaf7ae3a9d6","Обложка для автодокументов Staff полиуретан под кожу, Автодокументы, коричневая, 237598","mvideo","2026-09-17 16:31:23.275",580,277,"provisional"
"prod_1ce85aaf7ae3a9d6","Обложка для автодокументов Staff полиуретан под кожу, Автодокументы, коричневая, 237598","mvideo","2026-09-17 16:41:24.857",580,277,"provisional"
